L0,L1,L2,Linf,adv_size,attack,cifar_idx,csv_name,dataset_name,ergas,file_name,is_succ,magnet_det,model_name,mse,psnrb,rase,sam,scc,squeezer_det,success_rate,uqi,vifp
3072.0,30.71997962803306,0.55425589086766,0.010000020849938507,68.0,bim,2.0,gen_list_1,cifar,882.8363178412244,bim0.010.1_succ,1.0,0.0,conv12,9.999986737028108e-05,40.000005473811186,127.34339782633258,0.017302761125727453,0.9621194460732871,0.0,0.8,0.9997740028574152,0.996900927453924
3072.0,30.719976471247627,0.5542558339122919,0.01000002061619476,68.0,bim,3.0,gen_list_1,cifar,736.2049072531219,bim0.010.1_succ,1.0,0.0,conv12,9.999984681829763e-05,24.107452521941013,106.25022709057731,0.015503892191268498,0.9700680800019318,0.0,0.8,0.9998639745088628,1.0018298189132628
3071.0,30.709981371608436,0.5541657039487,0.010000020849938507,68.0,bim,5.0,gen_list_1,cifar,1273.1112149314824,bim0.010.1_succ,1.0,0.0,conv12,9.996732663833273e-05,40.000007878064494,183.16111282044915,0.026185743543285848,0.9540424822092266,0.0,0.8,0.9995336051001251,0.9962714427523213
3068.0,30.649205603874197,0.5534851918168469,0.010000020849938507,68.0,bim,6.0,gen_list_1,cifar,1487.2774242393602,bim0.010.1_succ,1.0,0.0,conv12,9.972195884131895e-05,40.00163748292848,212.81636970578532,0.026667602784485826,0.9560198723787474,0.0,0.8,0.9984519704398188,0.9984099084870056
3071.0,30.695668308334607,0.5539782602955499,0.010000020849938507,68.0,bim,7.0,gen_list_1,cifar,1347.8898794558097,bim0.010.1_succ,1.0,0.0,conv12,9.98997112239857e-05,32.76917721206615,193.48456370959195,0.027089852814350987,0.9108191218154369,0.0,0.8,0.9994090243321113,0.9959637954034521
3072.0,30.71997233252315,0.5542557592408812,0.010000020849938507,68.0,bim,8.0,gen_list_1,cifar,701.3775073218993,bim0.010.1_succ,1.0,0.0,conv12,9.999981987359558e-05,33.928591640818446,101.20826977432765,0.015515393453435741,0.9614814714461316,0.0,0.8,0.9998741854509982,1.0003283835251775
3072.0,30.71997537688882,0.5542558141676622,0.010000020849938507,68.0,bim,9.0,gen_list_1,cifar,953.6873584162014,bim0.010.1_succ,1.0,0.0,conv12,9.999983969357364e-05,40.00000636351834,137.4687480778101,0.016239201848547293,0.9794198048364174,0.0,0.8,0.9997534634354129,1.0009358416513947
3072.0,30.719969746149054,0.5542557125772892,0.010000020849938507,68.0,bim,10.0,gen_list_1,cifar,776.8315279126944,bim0.010.1_succ,1.0,0.0,conv12,9.999980303533807e-05,40.00000818823946,112.06553941345796,0.017949299083227694,0.7567480132336432,0.0,0.8,0.9998372419131698,0.9965461022914518
3069.0,30.58429139202424,0.5525178598680199,0.010000020849938507,68.0,bim,11.0,gen_list_1,cifar,1047.328972109882,bim0.010.1_succ,1.0,0.0,conv12,9.93736931878701e-05,40.025534947878825,151.16058776441204,0.017324632805280946,0.9891243274511532,0.0,0.8,0.9997320206987944,1.0014093808638265
3072.0,30.71782810109503,0.5542212681587426,0.010000020849938507,68.0,bim,12.0,gen_list_1,cifar,1265.0125017728283,bim0.010.1_succ,1.0,0.0,conv12,9.998737437483231e-05,40.00000478705068,182.15775343717775,0.024296558955347533,0.9702023767263687,0.0,0.8,0.9995245483748819,1.0027786308427935
3068.0,30.671352903387856,0.5537559627635428,0.010000020849938507,68.0,bim,14.0,gen_list_1,cifar,1100.325423593614,bim0.010.1_succ,1.0,0.0,conv12,9.981955283078718e-05,40.00000533232863,158.6699044488684,0.020780020009950755,0.9880537087453032,0.0,0.8,0.9997111068066108,0.9986385208019959
3071.0,30.69958456835399,0.5540198036260221,0.010000020849938507,68.0,bim,15.0,gen_list_1,cifar,848.6924633964637,bim0.010.1_succ,1.0,0.0,conv12,9.991469492507035e-05,40.00000542909808,122.46348267018304,0.018632210893591985,0.9395765053858444,0.0,0.8,0.9998187652608693,0.9955698111095694
3044.0,30.225666108241704,0.5489212275134286,0.010000020849938507,68.0,bim,16.0,gen_list_1,cifar,971.552927771928,bim0.010.1_succ,1.0,0.0,conv12,9.808415169754209e-05,40.027829805903174,140.16369841440044,0.017001205869849885,0.9804488634780048,0.0,0.8,0.999723534019375,1.0003282044362891
3072.0,30.719976307013457,0.5542558309491422,0.010000020849938507,68.0,bim,17.0,gen_list_1,cifar,993.3176349945123,bim0.010.1_succ,1.0,0.0,conv12,9.999984574906386e-05,40.00000759204127,143.2905715385304,0.018012592708468517,0.9754181734634991,0.0,0.8,0.9997520061884305,0.9990387680642007
3068.0,30.638020764210935,0.5532833179253235,0.010000020849938507,68.0,bim,18.0,gen_list_1,cifar,1292.0229905895615,bim0.010.1_succ,1.0,0.0,conv12,9.964922848126775e-05,40.00000500067748,186.45545405086992,0.015377781950302408,0.8673719521487934,0.0,0.8,0.9994899595202923,0.9980246655887139
3071.0,30.69135434363841,0.5539087810282607,0.010000020849938507,68.0,bim,20.0,gen_list_1,cifar,1180.910802053288,bim0.010.1_succ,1.0,0.0,conv12,9.987465419928829e-05,40.001638010185694,170.32083715817245,0.019496297731421627,0.9649645709951907,0.0,0.8,0.9996794095769364,0.999184547075124
3005.0,29.909973730665506,0.5462661111181175,0.010000020849938507,68.0,bim,21.0,gen_list_1,cifar,661.7827460114498,bim0.010.1_succ,1.0,0.0,conv12,9.713758598831752e-05,40.134194076378755,95.52075480232914,0.011018529878979312,0.6430331340999872,0.0,0.8,0.9999128320420073,0.994944005455651
3072.0,30.719986308848153,0.5542560114039771,0.010000020849938507,68.0,bim,22.0,gen_list_1,cifar,1387.5037170949972,bim0.010.1_succ,1.0,0.0,conv12,9.999991086505392e-05,39.99999755250842,199.38701150327358,0.034053291994297914,0.8624166477932276,0.0,0.8,0.9993153844798218,0.9866515797936906
3072.0,30.71997518451775,0.554255810697124,0.010000020849938507,68.0,bim,24.0,gen_list_1,cifar,870.3882812666933,bim0.010.1_succ,1.0,0.0,conv12,9.999983844125202e-05,40.00000711252274,125.39971755500363,0.017728001634645774,0.9690865908505959,0.0,0.8,0.9997939038990616,0.9978336130734281
3072.0,30.71998427436486,0.5542559746974762,0.010000020849938507,68.0,bim,26.0,gen_list_1,cifar,1458.7722398439757,bim0.010.1_succ,1.0,0.0,conv12,9.999989761974263e-05,40.000005795430155,210.30903998246703,0.023077132323204044,0.9548945858920783,0.0,0.8,0.9994685752413043,0.9978612849954969
3061.0,30.473115112150417,0.5513539826652344,0.010000020849938507,68.0,bim,27.0,gen_list_1,cifar,990.844335730936,bim0.010.1_succ,1.0,0.0,conv12,9.895547337266133e-05,40.00000662423972,142.89137595138942,0.01722456133367289,0.9490351341834282,0.0,0.8,0.9997388339293591,0.9976792279714944
